空气净化器pro连续可以开多久,您好，一直开着都没问题的
空气净化器pro可以过滤花粉吗,您好，这样的小颗粒也可以过滤
空气净化器pro可以去除甲醛吗,您好，空气净化器pro的滤芯功能强大，可以的
空气净化器pro可以去除毛发吗,您好，空气净化器pro有全新的滤网，可以吸附的
空气净化器pro能除臭吗,您好，空气净化器pro有高品质活性炭，可以的
空气净化器pro占地大吗,您好，空气净化器pro仅比2代略大一些，但占地也很小
空气净化器pro能吸收烟味吗,您好，空气净化器pro可以吸收烟味，但吸烟有害健康哦
空气净化器pro有节能补贴吗,您好，这件产品不在节能补贴的范围内
空气净化器pro可以远程控制吗,您好，可以使用手机APP进行远程智能操控
苹果手机能连接米家APP吗,您好，可以在苹果手机的应用商店里下载米家APP
空气净化器pro噪音大吗,您好，可以开启睡眠模式，几乎没有噪音
我怎么调节空气净化器pro,您好，您可以开启自动挡模式，产品会自动调节
空气净化器pro保修吗,您好，请留意保修日期，并去到对应的维修地点即可
小米空气净化器pro有货吗,您好，您可以在在线商城查看相关信息
空气净化器pro能退货吗,您好，这件商品支持7天无理由退货
空气净化器pro能更换吗,您好，这件商品支持15天免费换货
空气净化器pro包邮吗,您好，购物满150元就可包邮
您好，我想了解一下小米净水器,您好，关于净水器的问题，什么都可以问我哦
净水器现在的售价多少,您好，小米净水器当前售价为1999元
购买净水器要出服务费吗,您好，服务费包括在售价当中了
购买净水器要自行安装吗,您好，我们有专业的人员会上门服务
净化后的水质怎样,您好，净化后的水质很好，请放心使用
净水器占地大吗,您好，净水器的体积不大，可以放在水槽之下
这一款净水器是什么类型的,您好，这一款净水器的厨下式净水器
这一款净水器流量有多大,您好，这一款净水器流量最大可以到达400加仑
我需要储水吗,您好，我们的净水器由于流量大，无需储水
有二次污染吗,您好，由于流量大，我们的净水器避免了二次污染
净化后的水能用来做饭吗,您好，完全可以，请放心使用
能直接饮用净化水吗,您好，可以的，净化后的水是直饮水
净水器一共有几层过滤,您好，我们的净水器中一共进行了四层过滤
净水器的原理是什么,您好，我们运用到了RO反渗透技术，可在官网上具体了解
净水器能去除细菌吗,您好，可以的
净水器能去除水垢吗,您好，可以的
净水器能去除重金属污染吗,您好，由于我们的净化原理先进，已经可以做到了
净水器能去除抗生素吗,您好，我们的过滤精度很高，可以的
净水器的过滤精度有多少,您好，过滤精度已经到达了0.001微米
会产生很多废水吗,您好，由于采取了智能净化策略，废水比率很低
出水很慢吗,您好，我们使用了智能纯水提升技术，出水很快
长时间使用后是不是流量很小,您好，由于使用了自动冲洗技术，流量衰减不多
如果我还想使用自来水怎么办,您好，净水器可以独立于自来水龙头安装
怎么查看滤芯的状态,您好，可以通过水龙头的灯光看到滤芯的状态
什么时候需要更换滤芯,您好，水龙头的灯光变成橙色说米滤芯需要更换/清洗
水龙头会生锈吗,您好，我们使用了不锈钢水龙头
我能通过手机APP查看水质吗,您好，您可以通过小米智能家庭APP查看
手机APP哪里是水质,您好，APP上的TDS值即是水质的标准，值越低水越纯
更换滤芯麻烦吗,您好，不麻烦您可以简单的更换
净水器体积有多大,您好，净水器占地大小小于一张A4纸
我家能上门服务吗,您好，全国大部分范围都能免费上门服务
安装过程全程免费吗,您好，服务费不再额外收取，但可能有一些材料的费用
净水器保修吗,您好，请留意保修日期，并去到对应的维修地点即可
小米净水器有货吗,您好，您可以在在线商城查看相关信息
净水器能退货吗,您好，这件商品支持7天无理由退货
净水器能更换吗,您好，这件商品支持15天免费换货
净水器包邮吗,您好，购物满150元就可包邮
净化后的水需要烧开吗,您好，直饮没有问题，烧开也没有问题
净水器声音大吗,您好，声音不大的
需要预留电源插座吗,您好，需要橱柜里预留一个电源插座
如何知道滤芯更换周期,您好，这个取决于您家中的水质
废水可以怎么用,您好，您可以用废水来冲厕所，浇花
净水器耗电量高吗,您好，净水器耗电量很合理
如何找到安装人员,您好，您可以直接和客服取得联系
净水器能去除塑料味吗,您好，可以的
长期使用后是不是要放一段时间水,您好，机器会自动调节，无需担心
我需要购买保修延期吗,您好，这要视具体情况而定
保修延期在那购买,您好，保修延期一般可以在这件产品购买时的相关服务中购买
净化后的水有气泡吗,您好，若出现这种情况，一般是自来水源有问题，请及时联系当地供水商
我想单独购买滤芯怎么办,您好，可以到各大在线商城单独购买滤芯哦
滤芯是一套四个吗,您好，本净水器的四个滤芯都可以单独购买，请根据自己的情况而定
如何知道要买哪一个滤芯,您好，可以根据净水器的提示，换下已经无效的滤芯即可
滤芯怎么更换,您好，附送有说明指南，您也可以上网查看在线教程
您好，我想了解一下扫地机器人,您好，关于扫地机器人，有什么想问的呢
扫地机器人当前售价是多少,您好，扫地机器人当前售价1699元
扫地机器人保修吗,您好，请留意保修日期，并去到对应的维修地点即可
小米扫地机器人有货吗,您好，您可以在在线商城查看相关信息
扫地机器人能退货吗,您好，这件商品支持7天无理由退货
扫地机器人能更换吗,您好，这件商品支持15天免费换货
扫地机器人包邮吗,您好，购物满150元就可包邮
扫地机器人够智能吗,您好，我们专业团队运用了各项先进技术，您大可放心
扫地机器人怎么寻路,您好，它运用了多传感器、测距仪以及最新的算法
扫地机器人停下后就不能工作了吗,您好，它支持断点续扫
扫地机器人探测距离有多大,您好，扫地机器人探测范围最大可以达到6米
扫地机器人误差有多大,您好，扫地机器人的误差可以小于等于百分之二
扫地机器人性能够吗,您好，扫地机器人有三块独立处理器，性能强劲
扫地机器人运用的什么算法,您好，扫地机器人用的是知名的SLAM算法
扫地机器人需要手动充电吗,您好，扫地机器人在电量较低时会自行返回充电
扫地机器人充电后怎么继续,您好，扫地机器人会记录上一次停下的位置，自动继续工作
扫地机器人能清洁毛发吗,您好，扫地机器人配有强力的风机，可以的
扫地机器人能清洁地板积尘吗,您好，扫地机器人有立体清扫系统，可以的
缝隙和墙角可以被打扫干净吗,您好，扫地机器人有沿墙传感器，可以精准清扫
扫地机器人的电池可以持续多久,您好，扫地机器人的电池可以续航2.5小时
扫地机器人的电池安全吗,您好，扫地机器人的电池通过了各项标准且伴有多项保护措施
扫地机器人能远程控制吗,您好，您可以使用小米智能家庭APP进行控制
扫地机器人太吵了怎么办,您好，您可以使用APP开启安静模式
扫地机器人有几个模式,您好，扫地机器人有三个大模式，还包含了三个清扫模式
扫地机器人寿命有多长啊,您好，扫地机器人的持续运行寿命可以达到1500小时
扫地机器人的工作温度是多少,您好，扫地机器人可以在负五度至四十度的范围内都正常工作
扫地机器人耐冲击吗,您好，机器人经过耐冲击测试，能经受住50G的冲击
扫地机器人会不会接触不良,您好，扫地机器人经过了充电接触可靠性测试
虚拟墙是什么,您好，虚拟墙是用来给扫地机器人提供标识让其绕开的配件
配件坏了怎么办,您好，您可以去在线商城购买新的配件进行更换

